model,regime,distractor_count,seeds,n_seeds,acc_all_mean,acc_all_stdev,acc_latest_mean,acc_latest_stdev,acc_previous_mean,acc_previous_stdev,acc_first_mean,acc_first_stdev,distractor_confusion_mean,distractor_confusion_stdev,confusion_among_errors,chance_distractor_coverage,excess_confusion_among_errors
CurrentArchiveDelta,irrelevant,0,"[17, 27, 37]",3,72.91666666666667,1.833060966836079,70.05762317169206,1.8363244084160895,72.53257045993173,1.15078788388123,76.16982529727846,4.71687621605717,0.0,0.0,0.0,0.0,0.0
CurrentArchiveDelta,irrelevant,16,"[17, 27, 37]",3,70.24739583333333,0.7953640444577225,66.78748335699446,1.6031840320356157,70.64870416847074,1.3790004277076142,73.39787632495037,3.095381608687973,12.01171875,0.6403748558888672,0.40371991247264766,0.40822995979826937,-0.004510047325621713
CurrentArchiveDelta,irrelevant,32,"[17, 27, 37]",3,68.06640625,1.6135460587752253,65.03318746955226,2.375663862211599,68.11713206663526,3.0264415884433378,71.1221924117776,4.082747197685347,20.345052083333332,1.8278509298654242,0.63710499490316,0.6498082195196422,-0.012703224616482212
CurrentArchiveDelta,irrelevant,64,"[17, 27, 37]",3,62.565104166666664,2.025827849284064,61.08519255441489,2.4183236588186823,62.07264630319304,3.047588618142045,64.57020209529131,5.411657869896511,32.779947916666664,1.9733651778942287,0.8756521739130434,0.8773657168839969,-0.0017135429709534966
CurrentArchiveDelta,irrelevant,128,"[17, 27, 37]",3,52.1484375,4.731039653823955,53.55501628707438,3.2419055900975566,51.953378561372126,2.890324606532865,50.953718346113526,8.089007372964163,46.842447916666664,4.6919060238930905,0.9789115646258503,0.984960832604624,-0.006049267978773698
CurrentArchiveDelta,irrelevant,256,"[17, 27, 37]",3,33.69140625,6.971999706484974,37.602049765204335,6.519010640572561,31.243113756411848,6.102963237337667,31.96649253462367,8.453092672164066,66.30859375,6.971999706484974,1.0,0.9997738234440539,0.00022617655594614483
CurrentArchiveDelta,post_update,0,"[17, 27, 37]",3,72.91666666666667,1.833060966836079,70.05762317169206,1.8363244084160895,72.53257045993173,1.15078788388123,76.16982529727846,4.71687621605717,0.0,0.0,0.0,0.0,0.0
CurrentArchiveDelta,post_update,16,"[17, 27, 37]",3,66.76432291666667,1.7614256846964431,56.64789650884547,3.394153750870411,70.34372563890514,0.8773305723680435,73.78836874543833,4.668945510361316,14.876302083333334,1.1444268119301397,0.4476003917727719,0.40822995979826937,0.03937043197450252
CurrentArchiveDelta,post_update,32,"[17, 27, 37]",3,63.248697916666664,1.9269073680922841,50.265215724906014,1.6083619116653112,68.89256585363775,0.12817409833226204,71.30283844991695,4.444169552480589,26.692708333333332,2.7384409873760553,0.7263064658990256,0.6498082195196422,0.0764982463793834
CurrentArchiveDelta,post_update,64,"[17, 27, 37]",3,59.700520833333336,1.5451099331127367,41.26935956779768,1.428505373543314,68.16316325727581,0.2599325717971762,70.72688489113555,4.419831985785473,36.588541666666664,1.2442392482823172,0.9079159935379645,0.8773657168839969,0.03055027665396759
CurrentArchiveDelta,post_update,128,"[17, 27, 37]",3,54.296875,1.9941970563146618,24.64600064680708,2.4871943209315104,69.00436598341201,0.6899925870400968,71.00383293235657,4.209435452062696,45.475260416666664,1.9636759286270407,0.995014245014245,0.984960832604624,0.010053412409620988
CurrentArchiveDelta,post_update,256,"[17, 27, 37]",3,49.544270833333336,0.6353913182273156,11.16730084764902,1.5703213951009756,68.70066151772798,2.0311034390914386,71.09245705644011,3.8912235951553673,50.455729166666664,0.6353913182273156,1.0,0.9997738234440539,0.00022617655594614483
CurrentArchiveDelta,random,0,"[17, 27, 37]",3,72.91666666666667,1.833060966836079,70.05762317169206,1.8363244084160895,72.53257045993173,1.15078788388123,76.16982529727846,4.71687621605717,0.0,0.0,0.0,0.0,0.0
CurrentArchiveDelta,random,16,"[17, 27, 37]",3,70.5078125,0.8679877360659755,68.0125777060649,0.3601167219611688,70.66192411749262,1.2882719318919797,72.93099933320718,4.034902940402079,0.0,0.0,0.0,0.40822995979826937,-0.40822995979826937
CurrentArchiveDelta,random,32,"[17, 27, 37]",3,69.56380208333333,0.9281625930588056,67.91570304405832,0.9658919479116517,68.88985795580588,1.537575009950943,71.87762812484043,3.585016478080852,0.0,0.0,0.0,0.6498082195196422,-0.6498082195196422
CurrentArchiveDelta,random,64,"[17, 27, 37]",3,69.59635416666667,0.9484897320529599,68.00829419576775,0.6129932977934334,68.99640205998514,0.8942274204510807,71.77739332065826,3.1902215450425606,0.0,0.0,0.0,0.8773657168839969,-0.8773657168839969
CurrentArchiveDelta,random,128,"[17, 27, 37]",3,69.56380208333333,0.9383812047786181,67.91544368508994,0.7005973642507526,68.99640205998514,0.8942274204510807,71.77739332065826,3.1902215450425606,0.0,0.0,0.0,0.984960832604624,-0.984960832604624
CurrentArchiveDelta,random,256,"[17, 27, 37]",3,69.56380208333333,0.9383812047786181,67.91544368508994,0.7005973642507526,68.99640205998514,0.8942274204510807,71.77739332065826,3.1902215450425606,0.0,0.0,0.0,0.9997738234440539,-0.9997738234440539
CurrentArchiveDelta,similar,0,"[17, 27, 37]",3,72.91666666666667,1.833060966836079,70.05762317169206,1.8363244084160895,72.53257045993173,1.15078788388123,76.16982529727846,4.71687621605717,0.0,0.0,0.0,0.0,0.0
CurrentArchiveDelta,similar,16,"[17, 27, 37]",3,2.9622395833333335,0.20328769526036453,4.883962723234686,1.095928100924636,1.570605322498137,0.34789812426263855,2.2872945932713997,0.24811556318295822,85.12369791666667,1.0976377148494378,0.8772224085877223,0.40822995979826937,0.4689924487894529
CurrentArchiveDelta,similar,32,"[17, 27, 37]",3,2.7994791666666665,0.5378486862584084,3.8456068313933507,0.5729402614091978,1.9705005870730692,0.9256154964299751,2.474454626550969,0.8479631837684446,91.6015625,0.25837415147115145,0.9423978566644341,0.6498082195196422,0.2925896371447919
CurrentArchiveDelta,similar,64,"[17, 27, 37]",3,1.2044270833333333,0.4403564211741108,1.9628368472906434,0.7215543279066742,0.4161416273990756,0.17429673457973913,1.1513721064345506,0.5222308698597999,96.22395833333333,0.6647323521048872,0.9739703459637561,0.8773657168839969,0.0966046290797592
CurrentArchiveDelta,similar,128,"[17, 27, 37]",3,1.3997395833333333,0.39467303557884575,1.778499504178481,0.8862400724321496,0.9401014228589756,0.31127874420316654,1.4288551587837939,0.2678554035633294,98.20963541666667,0.40657539052072905,0.996038296467481,0.984960832604624,0.011077463862857018
CurrentArchiveDelta,similar,256,"[17, 27, 37]",3,0.9440104166666666,0.39467303557884575,0.7483843905614916,0.5770467359643187,0.9440833845724137,0.33470689970833817,1.1419953324502834,0.2676626363940809,99.05598958333333,0.39467303557884575,1.0,0.9997738234440539,0.00022617655594614483
TwoPathLatestShadowDelta,irrelevant,0,"[17, 27, 37]",3,53.41796875,1.3671875,21.8741139342694,2.7809933209268194,69.37113149039789,3.0792131440516797,70.89966532707389,2.7094666779509664,0.0,0.0,0.0,0.0,0.0
TwoPathLatestShadowDelta,irrelevant,16,"[17, 27, 37]",3,53.61328125,1.0874539771152387,22.34102696074377,2.2260802397977386,69.37670603196328,3.446553768865794,70.99105836840003,2.650044642446825,17.740885416666668,0.9781887500857239,0.3824561403508772,0.40822995979826937,-0.025773819447392154
TwoPathLatestShadowDelta,irrelevant,32,"[17, 27, 37]",3,53.7109375,1.598701713256338,25.05730978579818,1.6786510197167168,67.78826176678903,4.1907506355105015,69.93098544169017,1.3410202305501326,27.604166666666668,1.7532855481113583,0.5963431786216596,0.6498082195196422,-0.05346504089798254
TwoPathLatestShadowDelta,irrelevant,64,"[17, 27, 37]",3,52.408854166666664,0.9830513587592122,25.059970258883503,1.9310270474856945,66.35462240822736,2.6873280266507056,67.45599580401097,1.9413604184723245,40.201822916666664,1.1105938873197905,0.8447332421340629,0.8773657168839969,-0.032632474749934026
TwoPathLatestShadowDelta,irrelevant,128,"[17, 27, 37]",3,50.618489583333336,1.725874497631714,28.32238801329351,2.3360629222523546,61.01724005071839,3.7364623073230265,63.74135722373902,0.463856084331603,48.404947916666664,2.0585171554378094,0.98022412656559,0.984960832604624,-0.004736706039033978
TwoPathLatestShadowDelta,irrelevant,256,"[17, 27, 37]",3,44.791666666666664,2.0631447757149513,29.09322739121426,2.0181374854259007,53.07789765858603,3.8227157295497576,53.16215980801173,2.017284107727857,55.208333333333336,2.0631447757149513,1.0,0.9997738234440539,0.00022617655594614483
TwoPathLatestShadowDelta,post_update,0,"[17, 27, 37]",3,53.41796875,1.3671875,21.8741139342694,2.7809933209268194,69.37113149039789,3.0792131440516797,70.89966532707389,2.7094666779509664,0.0,0.0,0.0,0.0,0.0
TwoPathLatestShadowDelta,post_update,16,"[17, 27, 37]",3,49.837239583333336,0.48172684202307103,14.363799064604416,1.595839175113832,66.65960093779294,3.1695102559987824,70.4955160435758,3.9047854254874927,27.506510416666668,0.3697205954297053,0.5483452303698897,0.40822995979826937,0.14011527057162032
TwoPathLatestShadowDelta,post_update,32,"[17, 27, 37]",3,47.135416666666664,0.3697205954297053,8.912091384961583,0.5709049978937484,65.81776117971597,3.282336533069217,68.88440981326798,3.631999409806151,41.536458333333336,0.8305566941518928,0.7857142857142857,0.6498082195196422,0.13590606619464352
TwoPathLatestShadowDelta,post_update,64,"[17, 27, 37]",3,45.833333333333336,0.7953640444577225,5.159594423214414,0.14667773677249565,67.29536086302711,3.2372327704558637,67.53533701571168,3.7094384306530066,50.390625,1.2000200905707528,0.9302884615384616,0.8773657168839969,0.05292274465446467
TwoPathLatestShadowDelta,post_update,128,"[17, 27, 37]",3,42.513020833333336,1.0533001098543904,1.0407570059582856,0.8812622396506851,63.15958870923769,0.7117920381555899,65.81399033450774,2.7443181420139218,57.096354166666664,0.8419607523683309,0.9932049830124575,0.984960832604624,0.00824415040783355
TwoPathLatestShadowDelta,post_update,256,"[17, 27, 37]",3,37.858072916666664,1.0889146278436024,0.376722988881883,0.32634929265652485,58.04548809530686,1.685986206504041,57.52539144042266,1.1683770734798842,62.141927083333336,1.0889146278436024,1.0,0.9997738234440539,0.00022617655594614483
TwoPathLatestShadowDelta,random,0,"[17, 27, 37]",3,53.41796875,1.3671875,21.8741139342694,2.7809933209268194,69.37113149039789,3.0792131440516797,70.89966532707389,2.7094666779509664,0.0,0.0,0.0,0.0,0.0
TwoPathLatestShadowDelta,random,16,"[17, 27, 37]",3,51.920572916666664,1.5665637259786411,21.49498983127057,2.986807351485478,66.04406933709637,2.060441812843474,69.95367179075922,2.273943019139096,0.0,0.0,0.0,0.40822995979826937,-0.40822995979826937
TwoPathLatestShadowDelta,random,32,"[17, 27, 37]",3,51.5625,0.8513474499102878,21.87145346118408,2.5405997255907478,65.32358621207248,1.6064860527809735,69.17948252972785,2.2410079372413434,0.0,0.0,0.0,0.6498082195196422,-0.6498082195196422
TwoPathLatestShadowDelta,random,64,"[17, 27, 37]",3,51.334635416666664,1.0756973725168169,21.96696444494721,2.620174346613564,65.10492346214858,2.1574992734594574,68.60683289931728,2.240946549668616,0.0,0.0,0.0,0.8773657168839969,-0.8773657168839969
TwoPathLatestShadowDelta,random,128,"[17, 27, 37]",3,51.3671875,1.1091617862891159,22.060074314593393,2.7035903754552617,65.10492346214858,2.1574992734594574,68.60683289931728,2.240946549668616,0.0,0.0,0.0,0.984960832604624,-0.984960832604624
TwoPathLatestShadowDelta,random,256,"[17, 27, 37]",3,51.3671875,1.1091617862891159,22.060074314593393,2.7035903754552617,65.10492346214858,2.1574992734594574,68.60683289931728,2.240946549668616,0.0,0.0,0.0,0.9997738234440539,-0.9997738234440539
TwoPathLatestShadowDelta,similar,0,"[17, 27, 37]",3,53.41796875,1.3671875,21.8741139342694,2.7809933209268194,69.37113149039789,3.0792131440516797,70.89966532707389,2.7094666779509664,0.0,0.0,0.0,0.0,0.0
TwoPathLatestShadowDelta,similar,16,"[17, 27, 37]",3,13.216145833333334,0.5966895436140417,10.135888939190162,0.5912393662805296,13.412563105592572,3.555770295753893,16.123001498782052,2.9372575160188714,72.91666666666667,0.4615054322512313,0.8402100525131283,0.40822995979826937,0.43198009271485893
TwoPathLatestShadowDelta,similar,32,"[17, 27, 37]",3,4.98046875,0.09765625,4.219669347189909,0.23169656556449658,5.635352511558852,0.7952408851136742,5.158849497051995,0.81356251233683,89.71354166666667,0.6502273553202532,0.9441589585474478,0.6498082195196422,0.2943507390278056
TwoPathLatestShadowDelta,similar,64,"[17, 27, 37]",3,2.1158854166666665,0.3697205954297053,2.533242276784116,0.03960623780986436,1.6731674649639603,0.37851227883742194,2.0912927971357944,0.8882451757978012,96.74479166666667,0.29834477180702085,0.988360492184902,0.8773657168839969,0.11099477530090507
TwoPathLatestShadowDelta,similar,128,"[17, 27, 37]",3,0.87890625,0.5167483029423029,0.754483413637261,0.6535606082486879,1.1409252301067931,0.8830531112256634,0.762578580932729,0.5894474860379352,98.89322916666667,0.6202004844810433,0.9977011494252874,0.984960832604624,0.012740316820663455
TwoPathLatestShadowDelta,similar,256,"[17, 27, 37]",3,0.390625,0.29296875,0.470351576464813,0.4283328064236401,0.20576131687242796,0.35638905505532453,0.47848767184181995,0.16994566834890174,99.609375,0.29296875,1.0,0.9997738234440539,0.00022617655594614483
