seed,family,rank,checkpoint_path,checkpoint_step,baseline_bpc,compressed_bpc,bpc_delta,retained_energy_mean,retained_energy_min,relative_frobenius_error_mean,relative_frobenius_error_max,elapsed_seconds
seed1,m_wq,256,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.516470653607896,2.678629787178366e-05,0.9916393986753717,0.9911660133421741,0.0914113675313268,0.09398929012300213,303.5890175999957
seed1,m_wq,128,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.5165036527790303,5.978546900609061e-05,0.9645887257957795,0.9445217545882529,0.18750129925427217,0.2355382037202183,279.09756670000206
seed1,m_wq,64,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.5187437053086872,0.002299837998662957,0.9168854848895139,0.788370686515015,0.2820515849707757,0.46003186138025814,252.08845499999734
seed1,m_wk,256,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.516457131471972,1.3264161947690312e-05,0.9928930080813689,0.991208371435654,0.08406730845108372,0.09376368467773656,244.30415760000324
seed1,m_wk,128,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.5165787662017947,0.00013489889177042969,0.9663431005592552,0.9396358239002273,0.1821210623063504,0.2456912210474211,248.85606420000113
seed1,m_wk,64,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.517218219195534,0.000774351885509672,0.9159838282299023,0.7751745046063424,0.2823207258727645,0.4741576693397014,242.98258789999818
seed1,m_w_out,256,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.518329119630951,0.0018852523209267336,0.9466121922518211,0.9310022252221141,0.22530936016987038,0.2626742750592184,242.12533840000106
seed1,m_w_out,128,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.5229036216677567,0.0064597543577324945,0.7890172247068069,0.7377443290288638,0.4500978291874018,0.5121090420712529,242.99996329999703
seed1,m_w_out,64,E:\seed1\checkpoint.pkl,25000,1.5164438673100242,1.5449023954919083,0.028458528181884102,0.6079055763004336,0.5361626950210909,0.6206735587311304,0.6810560219092913,245.4758193999951
seed2,m_wq,256,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4813743260289736,1.13938506207667e-06,0.9916686524137748,0.9910121053588489,0.09123864371656322,0.09480450749384825,292.5958002999978
seed2,m_wq,128,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4814691314652617,9.594482135022453e-05,0.9655025850087355,0.9579610683939063,0.18551290329191436,0.20503397671140686,311.8895386000004
seed2,m_wq,64,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.481806109971796,0.0004329233278845823,0.9213526277526243,0.8506718288497392,0.27733396276518424,0.3864300339650902,295.0280112000037
seed2,m_wk,256,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4814059708367324,3.278419282093381e-05,0.9929281951791525,0.991418416009505,0.08385203754752729,0.09263683927301829,334.85810559999663
seed2,m_wk,128,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4815241874113692,0.00015100076745766522,0.967095767007038,0.9529521620048154,0.18070235781572597,0.2169051359354698,293.0678759000002
seed2,m_wk,64,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4823648386087867,0.000991651964875162,0.9195084937786383,0.8355354109121932,0.27943381845659837,0.40554233945151374,296.31775230000494
seed2,m_w_out,256,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4825827621252612,0.0012095754813497006,0.9457734241463994,0.9321868562358956,0.2272506534654154,0.2604095692636974,293.88612999999896
seed2,m_w_out,128,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.4958868885415495,0.01451370189763801,0.7864620692757865,0.7381252857148698,0.4532890062086732,0.5117369580996962,294.1322134000002
seed2,m_w_out,64,E:\seed2\checkpoint.pkl,25000,1.4813731866439115,1.5205523608564857,0.03917917421257422,0.6047485835881099,0.5345769573597625,0.6234102871335508,0.682219204244675,300.46558010000444
