seed,family,matrices,mean_stable_rank,median_stable_rank,min_stable_rank,max_stable_rank,mean_effective_rank_entropy,median_effective_rank_entropy,mean_condition_number,median_condition_number,rank_384_energy_mean,rank_384_energy_min,rank_384_error_mean,rank_384_error_max,rank_320_energy_mean,rank_320_energy_min,rank_320_error_mean,rank_320_error_max,rank_256_energy_mean,rank_256_energy_min,rank_256_error_mean,rank_256_error_max,rank_192_energy_mean,rank_192_energy_min,rank_192_error_mean,rank_192_error_max,rank_160_energy_mean,rank_160_energy_min,rank_160_error_mean,rank_160_error_max,rank_128_energy_mean,rank_128_energy_min,rank_128_error_mean,rank_128_error_max,rank_96_energy_mean,rank_96_energy_min,rank_96_error_mean,rank_96_error_max,rank_64_energy_mean,rank_64_energy_min,rank_64_error_mean,rank_64_error_max
seed1,m_wq,12,7.807258161867637,5.812969646879891,3.58235136866618,28.684532623989377,45.94297735863177,42.12108813306598,372415.25711713155,81303.46814751843,0.9990388602881275,0.9989587128270042,0.030990141517117237,0.03226898159216969,0.9966443109839366,0.9964276660600749,0.057911404013160445,0.05976900484302098,0.9916393986753714,0.9911660133421741,0.09141136753132799,0.09398929012300213,0.9823232920460021,0.9790833931891944,0.1328698823471258,0.14462574739929834,0.9750202257025182,0.9670407324242636,0.15783001388048012,0.18154687432103153,0.9645887257957795,0.9445217545882524,0.1875012992542727,0.2355382037202195,0.9482008109205253,0.8978547686584892,0.22548743723385037,0.31960167606179846,0.9168854848895139,0.7883706865150149,0.28205158497077576,0.46003186138025826
seed1,m_wk,12,8.518357171536785,7.402882774991193,3.9320249307172195,19.109050583613588,49.723617314689314,47.13302345201997,89628.49889514316,38017.44149504745,0.9992679713922364,0.9989978026805505,0.02693781749478349,0.031657500208473584,0.9972955642745404,0.9965091136530696,0.05183091249971969,0.05908372319793667,0.9928930080813689,0.991208371435655,0.08406730845108316,0.09376368467773123,0.984164677263823,0.9779888023325579,0.12543968285863905,0.14836171226917708,0.9769718538292099,0.9645776629189239,0.15109631819365268,0.18820822798452813,0.9663431005592552,0.9396358239002269,0.18212106230635047,0.24569122104742178,0.949211364332443,0.8888862801276521,0.2222371971198999,0.3333372464522197,0.9159838282299022,0.7751745046063424,0.2823207258727647,0.4741576693397014
seed1,m_wv,12,30.864308138284272,34.87433394595723,16.07962711544889,40.01306524578863,185.5822718682184,193.78143749628032,13178.60183084455,9513.681069603857,0.9947771648469971,0.9929873295134198,0.07127786456073261,0.08374168905975185,0.9816424538618347,0.975308971343448,0.1336506008231618,0.15713379221718043,0.9539446406902495,0.9383622360367946,0.21169206878783053,0.24826953893541878,0.9024950485258595,0.8715854576545347,0.3081249427475765,0.35834974863318286,0.8629462828113194,0.8215524852288858,0.36543633320568647,0.42243048513467185,0.8093683056799925,0.7555136513323671,0.4314657782260804,0.4944556083893001,0.7345563373067975,0.6674726270559087,0.5105309717431412,0.5766518645977756,0.6238026054738434,0.546721111657379,0.6102511466457149,0.6732598965797837
seed1,m_w_read,12,14.98896021605542,16.776851250591314,2.848095800472063,23.297330551811463,170.33518461219546,193.23828013549232,45835.19626452637,20584.675238144242,0.99459393162861,0.9929540907389203,0.07174679589934403,0.08393991458823227,0.9810900239957157,0.9757688983471159,0.13423281814857782,0.15566342426171959,0.9526302841351982,0.9397195702998188,0.21257142935187312,0.24552073171156283,0.8999419157985081,0.8741658192469979,0.3092751691408264,0.35473113868534595,0.8597428026674999,0.8249750223606421,0.3665371931494453,0.4183598661910077,0.8058504536361616,0.7604053808163213,0.4321212113811704,0.48948403363509085,0.7320807707028169,0.674580886027569,0.5094996710611072,0.5704551813880131,0.6266155628642701,0.5574618428448946,0.6046036060931121,0.6652354148383153
seed1,m_w_out,12,7.030840974424971,7.084606834474483,4.24570916172576,9.156180756036436,155.16160890705217,166.9117421513887,26005.79867010698,11921.829806284204,0.9938600364254445,0.9919155783742041,0.07635014765817695,0.08991341182379814,0.9785223687124872,0.9719841722292394,0.14283040954670445,0.16737929313616012,0.9466121922518211,0.9310022252221138,0.22530936016987088,0.26267427505921886,0.888751785021209,0.8585228155777939,0.32561936326424884,0.3761345296861299,0.845613435570614,0.8056450311070428,0.384055552085483,0.4408570844309494,0.7890172247068068,0.7377443290288638,0.450097829187402,0.5121090420712529,0.7133562090198491,0.6502889437726144,0.5271832588583297,0.59136372582987,0.6079055763004337,0.5361626950210914,0.6206735587311304,0.6810560219092909
seed2,m_wq,12,7.5508914462647025,5.95081143773755,3.2773132211583453,21.820927217438413,45.655190168054,42.54673249628821,124621.87188509454,22031.402662374647,0.9990399226749552,0.9989305616635413,0.0309667205182685,0.032702268062913806,0.996651369524623,0.9963289883714217,0.05783856875983573,0.06058887380186483,0.9916686524137753,0.9910121053588483,0.09123864371656075,0.09480450749385118,0.9824929829688539,0.9808098110663236,0.1322606790133722,0.13852865744558565,0.975408760447701,0.9725397004533944,0.15672646531041326,0.16571149491391826,0.9655025850087359,0.9579610683939067,0.18551290329191408,0.20503397671140577,0.9502989848698445,0.9278709021458083,0.22216755411165565,0.2685686092122304,0.9213526277526244,0.850671828849739,0.27733396276518424,0.38643003396509046
seed2,m_wk,12,9.218931657650486,8.607250969747163,3.266817534260861,20.59199537283529,50.24588804454101,47.48254037822083,109832.0755013071,54558.37382957359,0.9992691018063208,0.9989757896946361,0.02689460874613488,0.03200328585261092,0.9973078195287535,0.9964841088794043,0.05169020487198658,0.05929495021159638,0.9929281951791524,0.991418416009505,0.08385203754752778,0.09263683927301829,0.9842749869062267,0.9800568054808655,0.1250816378705352,0.14122037572225374,0.9772592528742355,0.9698351599755232,0.15037796034698797,0.17368028104674646,0.967095767007038,0.952952162004816,0.18070235781572577,0.21690513593546829,0.9509763063232223,0.9192056889833973,0.2198961886271801,0.28424340100801415,0.9195084937786383,0.8355354109121929,0.2794338184565986,0.4055423394515142
seed2,m_wv,12,29.948629731230387,32.550357786516614,14.298496650053997,39.04191390312286,184.89775671097865,192.37145738313023,8851.474732990482,6136.600613295592,0.9947101990916289,0.9931612032722242,0.0716647074189915,0.08269701764740833,0.9814981569313831,0.9759548154723352,0.13405171637857807,0.15506509770952584,0.9536598204997961,0.9401437011447992,0.21217204442281698,0.24465546970219332,0.9020178988879747,0.8746254638438845,0.3086535599501681,0.35408266853393927,0.8625161545220165,0.8260219853731944,0.3658078245782219,0.4171067185107495,0.8092849190378383,0.7617155794217881,0.43136687331222673,0.4881438523408974,0.73532944689933,0.6762020456345863,0.5096238063381163,0.5690324721537547,0.6257283183761114,0.5584968849759242,0.6085431327483292,0.6644570076566849
seed2,m_w_read,12,16.496333919706405,16.53924350594063,2.9547483959549936,31.047897832952046,172.61218716589414,184.31230137628148,17940.132555782486,8121.8474431921,0.9945635150588106,0.9928547270755773,0.07197707226689755,0.08452971622111768,0.9808013873432895,0.9747031254654357,0.13529187087130543,0.15904991208599992,0.9518887685238435,0.937198400979573,0.21428428362134574,0.2506024720956021,0.8985632326928522,0.8698421649146612,0.3114608389018661,0.36077393903293353,0.8580655565926011,0.8200719559015092,0.3687742629223971,0.42417925939217116,0.8039710402298194,0.7548125374402727,0.4342406543250508,0.4951640764026883,0.7300859333745668,0.6689593657066241,0.5114761883269398,0.5753613076088588,0.624931977683746,0.55326046537654,0.6061344655830911,0.6683857678193486
seed2,m_w_out,12,7.282505919274601,6.941578946591232,4.238333108504417,13.118580433182544,156.97488279846505,171.55362850911195,46337.2208500402,15337.401365209456,0.9937403357629161,0.9920706321892784,0.07712604824592752,0.08904699776366198,0.978181433968631,0.9725619055924564,0.1440516537304626,0.16564448197130996,0.9457734241463994,0.9321868562358954,0.22725065346541526,0.26040956926369785,0.887187838514527,0.8599387977848836,0.3281707703817776,0.3742475146412016,0.8435881051369422,0.8067451629232347,0.3869088624937733,0.4396075944257165,0.7864620692757865,0.7381252857148698,0.45328900620867324,0.5117369580996962,0.7103116545526175,0.6501715922496583,0.5304519724872171,0.591462938610985,0.6047485835881098,0.5345769573597625,0.6234102871335508,0.682219204244675
