seed,family,layer,parameter_path,shape,dtype,elements,numerical_rank,stable_rank,effective_rank_entropy,largest_singular_value,smallest_singular_value,spectral_norm,frobenius_norm,condition_number,rank_384_energy_fraction,rank_384_energy_percent,rank_384_relative_frobenius_error,rank_320_energy_fraction,rank_320_energy_percent,rank_320_relative_frobenius_error,rank_256_energy_fraction,rank_256_energy_percent,rank_256_relative_frobenius_error,rank_192_energy_fraction,rank_192_energy_percent,rank_192_relative_frobenius_error,rank_160_energy_fraction,rank_160_energy_percent,rank_160_relative_frobenius_error,rank_128_energy_fraction,rank_128_energy_percent,rank_128_relative_frobenius_error,rank_96_energy_fraction,rank_96_energy_percent,rank_96_relative_frobenius_error,rank_64_energy_fraction,rank_64_energy_percent,rank_64_relative_frobenius_error
seed1,m_wq,0,layers.m_wq[0],512x512,float64,262144,512,5.107048411447198,22.94321557837979,16.604485422205865,1.4880811922698627e-05,16.604485422205865,37.52411070653664,1115831.9524809,0.9989648710132792,99.89648710132792,0.0321734205007916,0.9964276660600749,99.6427666060075,0.05976900484302098,0.9913266370733965,99.13266370733965,0.09313089136588074,0.9824906472658259,98.24906472658259,0.13232291084379186,0.9762532037932948,97.62532037932948,0.15409995524563,0.968449897946583,96.8449897946583,0.17762348395811017,0.9586732524461202,95.86732524461202,0.20328981173162558,0.9463360844876119,94.63360844876118,0.23165473341243892
seed1,m_wq,1,layers.m_wq[1],512x512,float64,262144,512,4.023327721392124,20.819569697911408,19.712859781712936,0.0003061037942208404,19.712859781712936,39.54051646007326,64399.26637267023,0.9989587128270042,99.89587128270043,0.03226898159216969,0.9964421825889728,99.64421825889728,0.0596474426193381,0.9912793569363186,99.12793569363187,0.09338438340365784,0.982166414718067,98.2166414718067,0.1335424474911742,0.9755761188213893,97.55761188213893,0.15628141661314285,0.9671382878866085,96.71382878866085,0.18127799677123393,0.9561282645805388,95.61282645805387,0.20945580779596734,0.9407471235207824,94.07471235207824,0.24341913745475646
seed1,m_wq,2,layers.m_wq[2],512x512,float64,262144,512,4.905690167722076,25.1393806148163,18.209542419496685,0.00014898153219936418,18.209542419496685,40.33193796787987,122226.84349311853,0.9989917804805648,99.89917804805648,0.03175247265072744,0.9964993742317337,99.64993742317337,0.05916608630175114,0.9913861855266225,99.13861855266225,0.09281063771668364,0.9823957555890026,98.23957555890026,0.13268098737572537,0.975810612492345,97.58106124923451,0.15552937827836572,0.9673708964695809,96.73708964695808,0.1806352776464751,0.956326318941876,95.6326318941876,0.20898248983616777,0.9406067163063694,94.06067163063693,0.24370737308015655
seed1,m_wq,3,layers.m_wq[3],512x512,float64,262144,512,3.58235136866618,26.726953461971515,22.155783216263696,0.0004114850968286255,22.155783216263696,41.93447376562368,53843.46453133172,0.9990519808872754,99.90519808872754,0.03078991901133509,0.9967417022477284,99.67417022477284,0.05708150096372379,0.9920053521811923,99.20053521811923,0.08941279449165905,0.9836572598251204,98.36572598251205,0.12783872721080877,0.9775108864899926,97.75108864899926,0.1499637073094933,0.9695295578214362,96.95295578214362,0.17455784765676896,0.9587426702600315,95.87426702600314,0.20311900388680657,0.9421333068658264,94.21333068658264,0.24055496904901713
seed1,m_wq,4,layers.m_wq[4],512x512,float64,262144,512,4.968720732484896,29.128731326860855,18.867567284735713,0.00019211908091955104,18.867567284735713,42.056991371169424,98207.66992236662,0.999013246388159,99.90132463881591,0.03141263458930138,0.9965734039776095,99.65734039776095,0.05853713370494393,0.9915920954634795,99.15920954634795,0.09169462654114753,0.9826287031572006,98.26287031572006,0.13180021564018538,0.9760176238643687,97.60176238643687,0.15486244262451518,0.9673603007367745,96.73603007367745,0.18066460434524942,0.9556124392658565,95.56124392658565,0.2106835559177401,0.9374094849086,93.74094849085999,0.2501809646863646
seed1,m_wq,5,layers.m_wq[5],512x512,float64,262144,512,4.773502202562833,37.62747328408019,19.635926361929176,0.001894807669450825,19.635926361929176,42.90125119818966,10363.01819889735,0.9990360994650281,99.90360994650281,0.031046747574776042,0.9966703804977132,99.66703804977132,0.05770285523513398,0.9918185503265976,99.18185503265975,0.09045136634347983,0.9829805555521162,98.29805555521162,0.13045859284801378,0.9763231760310068,97.63231760310069,0.15387275252296354,0.9674811040859128,96.74811040859129,0.18032996399402731,0.9549590516756732,95.49590516756732,0.2122285285354606,0.9335726476519163,93.35726476519163,0.25773504291827243
seed1,m_wq,6,layers.m_wq[6],512x512,float64,262144,512,8.578357061744486,64.46130045904864,14.477991685604788,7.098492696724192e-05,14.477991685604788,42.40434726650523,203958.67551270543,0.999013094673659,99.90130946736589,0.03141504936079279,0.9965170282234325,99.65170282234325,0.059016707605283554,0.9911660133421741,99.1166013342174,0.09398929012300213,0.9808760263505024,98.08760263505025,0.13828945603153403,0.9725986387728399,97.25986387728399,0.1655335652584094,0.9604903584975921,96.0490358497592,0.1987703234952539,0.9403302701780917,94.03302701780916,0.24427388280761478,0.896784130867476,89.6784130867476,0.32127226636067424
seed1,m_wq,7,layers.m_wq[7],512x512,float64,262144,512,6.518890882312584,46.61470298205177,17.59468342170188,6.657729157339965e-06,17.59468342170188,44.92295466180562,2642745.447568143,0.9991515257000113,99.91515257000113,0.02912858218294685,0.9970215375436322,99.70215375436322,0.0545752916287929,0.9925818374715571,99.25818374715571,0.0861287555259151,0.9843765993101703,98.43765993101702,0.12499360259561168,0.978068253657327,97.80682536573269,0.14809370797799962,0.9692795996619314,96.92795996619314,0.17527236045100938,0.956102205591255,95.61022055912551,0.20951800497509748,0.9299448190746628,92.99448190746628,0.2646793927100054
seed1,m_wq,8,layers.m_wq[8],512x512,float64,262144,512,7.578677894939323,51.43177014027115,15.825991496543118,0.0008251669002689501,15.825991496543118,43.56800287855806,19179.139991418568,0.999044599565979,99.9044599565979,0.030909552472026848,0.9966393506791731,99.66393506791731,0.05797110763843411,0.9916001534967889,99.16001534967889,0.0916506765016556,0.9820911945993617,98.20911945993616,0.13382378488384764,0.9745985849007959,97.45985849007958,0.15937821400431154,0.9639146196643631,96.39146196643631,0.18996152330310712,0.9473154560789915,94.73154560789915,0.22953113932756164,0.915530757317048,91.55307573170481,0.290635928066287
seed1,m_wq,9,layers.m_wq[9],512x512,float64,262144,512,8.336167912843178,54.32520959698217,15.167111803660186,0.00014198606038921932,15.167111803660186,43.79112627964055,106821.13273713869,0.9990877435173693,99.90877435173692,0.030203583936856127,0.9967774478261745,99.67774478261745,0.05676752745915132,0.9919177483519765,99.19177483519765,0.08990134397228694,0.9828701197752909,98.28701197752909,0.13088116833490246,0.9757760018586433,97.57760018586433,0.1556406056958038,0.9657953432363651,96.57953432363651,0.18494501010742337,0.9503941838509972,95.03941838509972,0.2227236317704137,0.9210459603975781,92.10459603975781,0.2809876146779816
