seed,component,parameter_path,top_level_group,layer,shape,dtype,parameters,bytes,percent_of_seed_total
seed2,matrix_memory,layers.m_b_write,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed2,matrix_memory,layers.m_ln_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_ln_g,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_proj_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_proj_w,layers,,12x512x1024,float32,6291456,25165824,13.262546416602063
seed2,matrix_memory,layers.m_w_archive_mix,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,matrix_memory,layers.m_w_archive_ret,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_w_archive_write,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_w_eta,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_w_out,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,matrix_memory,layers.m_w_read,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,matrix_memory,layers.m_w_ret,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_w_write,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed2,matrix_memory,layers.m_wk,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,matrix_memory,layers.m_wq,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,matrix_memory,layers.m_wv,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,normalization,layers.pre_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,normalization,layers.pre_g,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,router,layers.r_b,layers,,12x32,float32,384,1536,0.0008094815928101845
seed2,router,layers.r_proj,layers,,12x512x32,float32,196608,786432,0.4144545755188145
seed2,router,layers.r_proj_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,router,layers.r_w,layers,,12x32x512,float32,196608,786432,0.4144545755188145
seed2,vector_mamba,layers.s_b_delta,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,vector_mamba,layers.s_b_gate,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,feedback_bridge,layers.s_b_memory_feedback,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed2,vector_mamba,layers.s_b_ret,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,other,layers.s_memory_down,layers,,12x32x512,float32,196608,786432,0.4144545755188145
seed2,other,layers.s_memory_up,layers,,12x512x32,float32,196608,786432,0.4144545755188145
seed2,vector_mamba,layers.s_proj_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed2,vector_mamba,layers.s_proj_w,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,vector_mamba,layers.s_w_c,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,vector_mamba,layers.s_w_delta,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,vector_mamba,layers.s_w_gate,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,feedback_bridge,layers.s_w_memory_feedback,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed2,vector_mamba,layers.s_w_ret,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed2,vector_mamba,layers.s_wu,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
