candidate,hidden_dim,mamba_state_dim,ax_res,q_rank,k_rank,dense_parameter_count,factorized_parameter_count,budget_error,qk_savings,q_relative_reconstruction_error,k_relative_reconstruction_error,final_logits_relative_l2,auxiliary_logits_relative_l2,future_logits_relative_l2,auxiliary_future_logits_relative_l2,status
C1_q128_k128,1664,608,512,128,128,50586056,47440328,2560,3145728,0.61362883500482,0.6138230697658372,1.087486084550981,1.0460085363463878,1.0953486848749603,1.0444322525929077,PASS
C2_q64_k64,2048,640,512,64,64,52160456,47441864,4096,4718592,0.7898736657270374,0.7896235968685974,1.1654225763001091,1.1326100341265637,1.1721500876082311,1.1348894561468807,PASS
C3_q128_k64,1536,640,512,128,64,51373000,47440840,3072,3932160,0.61362883500482,0.7896235968685974,1.1202515686327068,1.065069223843706,1.1242034977059836,1.0945437904959607,PASS
